Bs,Ts,n,gflops
64,8,769,864.401099
64,8,1023,1118.006789
64,8,1024,1123.442377
64,8,1025,939.728837
64,8,2047,1210.080162
64,8,2048,1217.135633
64,8,2049,1109.78134
64,8,4095,1237.022375
64,8,4096,1242.982551
64,8,4097,1192.662682
